Action Entropy,Policy Type,Potential,Collision Likelihood,Reach Reduction,Trial_ID
0.2,Global Optimal,0.024282242696238823,0.03549802751599529,1.0000000000000004,1
0.2,Local Feedback,0.01968026476093833,0.18952030061100178,0.8104796993889983,1
0.2,Global Optimal,0.016870943678137504,0.02575286952201239,1.0000000000000009,2
0.2,Local Feedback,0.015568949954328403,0.07717373424085938,0.9228262657591407,2
0.2,Global Optimal,0.016870943678137504,0.02575286952201239,1.0000000000000009,3
0.2,Local Feedback,0.015568949954328403,0.07717373424085938,0.9228262657591407,3
0.2,Global Optimal,0.005422746115016665,0.31074803917816674,0.7478387625695941,4
0.2,Local Feedback,7.587284891441888e-05,0.9887545409645733,0.010463454537851701,4
0.2,Global Optimal,0.0168709436781375,0.025393111294045534,1.0000000000000009,5
0.2,Local Feedback,0.015502333178170286,0.08112234419588193,0.9188776558041183,5
0.2,Global Optimal,0.016870943678137504,0.02575286952201239,1.0000000000000009,6
0.2,Local Feedback,0.015568949954328403,0.07717373424085938,0.9228262657591407,6
0.2,Global Optimal,0.05649589216563029,0.024698867512199074,1.0000000000000007,7
0.2,Local Feedback,0.05326726768198228,0.05714795111443771,0.9428520488855623,7
0.2,Global Optimal,0.013511258918206773,0.01877857049367826,1.0000000000000007,8
0.2,Local Feedback,0.013028036929457745,0.035764394100824326,0.964235605899176,8
0.2,Global Optimal,0.007251223641288617,0.019821093464689632,1.0000000000000007,9
0.2,Local Feedback,0.00702492963412582,0.031207699328741456,0.968792300671259,9
0.2,Global Optimal,0.04324030376772026,0.26190285732231855,0.9556864402086399,10
0.2,Local Feedback,6.520662731161745e-05,0.9985353514883794,0.0014411806602517927,10
0.2,Global Optimal,0.0314357547782502,0.02324406317529948,1.0000000000000002,11
0.2,Local Feedback,0.02973349301115274,0.05415049770890834,0.9458495022910914,11
0.2,Global Optimal,0.013511258918206773,0.01877857049367826,1.0000000000000007,12
0.2,Local Feedback,0.013028036929457745,0.035764394100824326,0.964235605899176,12
0.2,Global Optimal,0.0168709436781375,0.025393111294045534,1.0000000000000009,13
0.2,Local Feedback,0.015502333178170286,0.08112234419588193,0.9188776558041183,13
0.2,Global Optimal,0.016870943678137504,0.02575286952201239,1.0000000000000009,14
0.2,Local Feedback,0.015568949954328403,0.07717373424085938,0.9228262657591407,14
0.2,Global Optimal,0.01049395269813805,0.3254952699169853,0.7766820813415971,15
0.2,Local Feedback,4.359351453547249e-06,0.999646698339682,0.00032264583781108,15
0.2,Global Optimal,0.006147973374030291,0.16851331990594476,0.8478532283880481,16
0.2,Local Feedback,0.00035962339818395515,0.9400476537726481,0.0495948568095807,16
0.2,Global Optimal,0.013511258918206773,0.02274689046845435,1.0000000000000004,17
0.2,Local Feedback,0.01280514188771492,0.05226137954771459,0.9477386204522854,17
0.2,Global Optimal,0.013511258918206773,0.01877857049367826,1.0000000000000007,18
0.2,Local Feedback,0.013028036929457745,0.035764394100824326,0.964235605899176,18
0.2,Global Optimal,0.024282242696238823,0.03549802751599529,1.0000000000000004,19
0.2,Local Feedback,0.01968026476093833,0.18952030061100178,0.8104796993889983,19
0.2,Global Optimal,0.05649589216563029,0.024698867512199074,1.0000000000000007,20
0.2,Local Feedback,0.05326726768198228,0.05714795111443771,0.9428520488855623,20
0.2,Global Optimal,0.016870943678137504,0.02575286952201239,1.0000000000000009,21
0.2,Local Feedback,0.015568949954328403,0.07717373424085938,0.9228262657591407,21
0.2,Global Optimal,0.005422746115016665,0.31074803917816674,0.7478387625695941,22
0.2,Local Feedback,7.587284891441888e-05,0.9887545409645733,0.010463454537851701,22
0.2,Global Optimal,0.02428224269623882,0.02855693883346666,1.0000000000000004,23
0.2,Local Feedback,0.020004819028487844,0.17615439073152495,0.8238456092684753,23
0.2,Global Optimal,0.01049395269813805,0.32918497655967593,0.7766820813415976,24
0.2,Local Feedback,5.281868735157114e-06,0.999563029901917,0.00039092350810031936,24
0.2,Global Optimal,0.006147973374030291,0.16851331990594476,0.8478532283880481,25
0.2,Local Feedback,0.00035962339818395515,0.9400476537726481,0.0495948568095807,25
0.2,Global Optimal,0.024282242696238823,0.03549802751599529,1.0000000000000004,26
0.2,Local Feedback,0.01968026476093833,0.18952030061100178,0.8104796993889983,26
0.2,Global Optimal,0.007251223641288619,0.01828471427202727,1.0000000000000007,27
0.2,Local Feedback,0.007109051942198452,0.019606580368123905,0.9803934196318767,27
0.2,Global Optimal,0.0564958921656303,0.026485566208426126,1.0000000000000004,28
0.2,Local Feedback,0.053034063957636005,0.061275750772200266,0.9387242492277997,28
0.2,Global Optimal,0.04324030376772026,0.2669755158290287,0.9556864402086401,29
0.2,Local Feedback,6.54990749090983e-05,0.9985287826324818,0.0014476442643209363,29
0.2,Global Optimal,0.013511258918206773,0.02274689046845435,1.0000000000000004,30
0.2,Local Feedback,0.01280514188771492,0.05226137954771459,0.9477386204522854,30
0.2,Global Optimal,0.01049395269813805,0.32918497655967593,0.7766820813415976,31
