Action Entropy,Policy Type,Potential,Collision Likelihood,Trial_ID
0.3,Local Feedback,0.004440086601991783,0.7937216277687917,13
0.3,Global Feedback,0.2267816566277456,0.0936780336561197,14
0.3,Local Feedback,0.04584279659101978,0.6374618271234098,14
0.3,Global Feedback,0.2188360217065909,0.0867617610109986,15
0.3,Local Feedback,0.08340401067486446,0.4889655883756625,15
0.3,Global Feedback,0.2234875698568205,0.2998928289417694,16
0.3,Local Feedback,9.216869356426187e-21,0.8,16
0.3,Global Feedback,0.3140703300153994,0.15012064603076,17
0.3,Local Feedback,0.045362514837273916,0.6891739170459554,17
0.3,Global Feedback,0.1057314204334564,0.0895566688635031,18
0.3,Local Feedback,0.06970133943114173,0.3212245184496483,18
0.3,Global Feedback,0.0813389558794095,0.1216538533094508,19
0.3,Local Feedback,0.017934176817113064,0.7448982526763821,19
0.3,Global Feedback,0.1106063424790915,0.1100217979482589,20
0.3,Local Feedback,0.07507591017364133,0.5200218657162692,20
0.3,Global Feedback,0.0887701160766232,0.0863733606653565,21
0.3,Local Feedback,0.0868307363662207,0.07465114178646873,21
0.3,Global Feedback,0.1074472549116178,0.0444189475740397,22
0.3,Local Feedback,0.05650505675905652,0.5818699628813088,22
0.3,Global Feedback,0.1676844445204268,0.1089522323761752,23
0.3,Local Feedback,0.006007366724338427,0.7911599129645892,23
0.3,Global Feedback,0.1264104160943135,0.1766208348464086,24
0.3,Local Feedback,6.245042040395048e-17,0.8,24
0.4,Global Feedback,0.1461345816220388,0.1522480842362277,0
0.4,Local Feedback,0.00010738831421644434,0.7999762203317727,0
0.4,Global Feedback,0.4055174395162612,0.1815962030777277,1
0.4,Local Feedback,5.843065632439499e-05,0.7999972631493012,1
0.4,Global Feedback,0.2123365804317094,0.2248219107819762,2
0.4,Local Feedback,3.8177142411581905e-22,0.8,2
0.4,Global Feedback,0.2285513492672858,0.2177034525543255,3
0.4,Local Feedback,2.251588048858203e-13,0.8,3
0.4,Global Feedback,0.115577910338633,0.2382024406731862,4
0.4,Local Feedback,6.683213660938476e-20,0.8,4
0.4,Global Feedback,0.4012525297728116,0.19502322108878,5
0.4,Local Feedback,4.952627344460577e-11,0.7999999999999928,5
0.4,Global Feedback,0.2607065779676175,0.1783106955887169,6
0.4,Local Feedback,0.04949525221374175,0.7049904474687401,6
0.4,Global Feedback,0.3209825759674979,0.2272525050066026,7
0.4,Local Feedback,9.948291355137726e-19,0.8,7
0.4,Global Feedback,0.1161298119349225,0.2889953531880634,8
0.4,Local Feedback,2.3029020093159404e-29,0.8,8
0.4,Global Feedback,0.1893050006809541,0.0761127408060113,9
0.4,Local Feedback,0.11043137444740911,0.3749815979460616,9
0.4,Global Feedback,0.1007258696849872,0.1061705582541187,10
0.4,Local Feedback,0.08586985026527441,0.39101224112281746,10
0.4,Global Feedback,0.1863200637753727,0.1054451477449314,11
0.4,Local Feedback,0.06306930566347428,0.6035734345742731,11
0.4,Global Feedback,0.1703903904285973,0.2714332724873374,12
0.4,Local Feedback,3.5131519485554423e-22,0.8,12
0.4,Global Feedback,0.1959163291145085,0.0753695476849911,13
0.4,Local Feedback,0.1513263577542984,0.3144381739938532,13
0.4,Global Feedback,0.3510371793583202,0.1713811890714736,14
0.4,Local Feedback,0.006324513894683017,0.7970249506493939,14
0.4,Global Feedback,0.2768875797468157,0.1609946476201588,15
0.4,Local Feedback,0.11607064657215066,0.21290739163251715,15
0.4,Global Feedback,0.1542419969859733,0.0731826175283861,16
0.4,Local Feedback,0.1522725592484646,0.05468421393664672,16
0.4,Global Feedback,0.3328627275194185,0.0552301995937272,17
0.4,Local Feedback,0.16275426809832746,0.18624106691665512,17
0.4,Global Feedback,0.1182795479968237,0.2544708191994019,18
0.4,Local Feedback,1.5245157460041678e-29,0.8,18
0.4,Global Feedback,0.3111740955239246,0.153902975108101,19
0.4,Local Feedback,0.08019576050889302,0.6241226209228382,19
0.4,Global Feedback,0.132390926206684,0.1014215277669214,20
0.4,Local Feedback,0.1182509758763252,0.08732798706255736,20
0.4,Global Feedback,0.2990143040508331,0.1308168077100995,21
0.4,Local Feedback,1.137809740113666e-05,0.7999995611229904,21
0.4,Global Feedback,0.4026585363006035,0.1539528781745409,22
0.4,Local Feedback,1.2454419332852386e-11,0.7999999999999985,22
0.4,Global Feedback,0.3960258117280365,0.0630777149792419,23
0.4,Local Feedback,0.10903984901979773,0.5772055878994576,23
0.4,Global Feedback,0.1399866985522094,0.105089410099715,24
0.4,Local Feedback,0.003985832410893404,0.7952765443311242,24
0.5,Global Feedback,0.4015389238172346,0.1981227915321604,0
0.5,Local Feedback,5.513372517017453e-18,0.8,0
0.5,Global Feedback,0.2787447814351445,0.1797753126242758,1
0.5,Local Feedback,1.4698642781650856e-08,0.7999999999664672,1
0.5,Global Feedback,0.6715806347771265,0.081342419816113,2
0.5,Local Feedback,1.649513741715982e-09,0.7999999999994606,2
0.5,Global Feedback,0.5108922181648944,0.0937153577687022,3
0.5,Local Feedback,0.15766086404949287,0.5874989443391516,3
0.5,Global Feedback,0.3851382622718265,0.0832392871341206,4
0.5,Local Feedback,0.15685221955181483,0.5212636410500439,4
0.5,Global Feedback,0.3136949774249167,0.0809013232422768,5
0.5,Local Feedback,0.1517947041575949,0.48359122821250616,5
0.5,Global Feedback,0.5078733447893587,0.1250168315522921,6
